,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
1734,CS2846,91,19,1283,89.72,56.47,56.47,3.07,Medium Value Customer
1735,CS2847,417,21,1493,15.08,70.65,70.65,3.12,Medium Value Customer
1736,CS2848,93,19,1331,87.23,56.47,56.47,3.05,Medium Value Customer
1737,CS2849,93,21,1301,87.23,70.65,70.65,3.66,Medium Value Customer
1738,CS2850,288,17,1131,56.91,41.88,41.88,2.21,Low Value Customers
1739,CS2851,443,19,1392,10.84,56.47,56.47,2.48,Low Value Customers
1740,CS2852,415,16,1151,15.6,34.8,34.8,1.6,Lost Customers
1741,CS2853,276,25,1779,66.37,90.27,90.27,4.33,High value Customer
1742,CS2854,62,23,1564,91.86,82.07,82.07,4.18,High value Customer
1743,CS2855,353,19,1346,31.87,56.47,56.47,2.64,Low Value Customers
1744,CS2856,321,21,1448,42.03,70.65,70.65,3.32,Medium Value Customer
1745,CS2857,398,15,1095,18.55,28.31,28.31,1.34,Lost Customers
1746,CS2858,311,23,1555,47.15,82.07,82.07,3.84,Medium Value Customer
1747,CS2859,279,13,792,64.07,17.32,17.32,1.22,Lost Customers
1748,CS2860,362,21,1356,28.72,70.65,70.65,3.22,Medium Value Customer
1749,CS2861,183,14,1082,79.38,22.55,22.55,1.55,Lost Customers
1750,CS2862,285,24,1734,59.23,86.57,86.57,4.12,High value Customer
1751,CS2863,400,25,1716,18.14,90.27,90.27,3.97,Medium Value Customer
1752,CS2864,216,23,1442,74.35,82.07,82.07,4.05,High value Customer
1753,CS2865,32,25,1868,94.33,90.27,90.27,4.54,Top Customers
1754,CS2866,279,22,1488,64.07,76.89,76.89,3.75,Medium Value Customer
1755,CS2867,31,21,1464,95.52,70.65,70.65,3.72,Medium Value Customer
1756,CS2868,310,20,1507,47.85,63.59,63.59,3.06,Medium Value Customer
1757,CS2869,289,21,1452,56.16,70.65,70.65,3.42,Medium Value Customer
1758,CS2870,309,24,1670,48.5,86.57,86.57,4.04,High value Customer
1759,CS2871,391,29,2124,20.32,98.05,98.05,4.32,High value Customer
1760,CS2872,263,22,1674,70.02,76.89,76.89,3.79,Medium Value Customer
1761,CS2873,245,29,2045,72.57,98.05,98.05,4.71,Top Customers
1762,CS2874,216,14,930,74.35,22.55,22.55,1.52,Lost Customers
1763,CS2875,282,15,1007,61.61,28.31,28.31,1.67,Low Value Customers
1764,CS2876,279,21,1369,64.07,70.65,70.65,3.48,Medium Value Customer
1765,CS2877,263,24,1677,70.02,86.57,86.57,4.2,High value Customer
1766,CS2878,246,23,1610,71.8,82.07,82.07,4.03,High value Customer
1767,CS2879,348,15,1028,33.74,28.31,28.31,1.46,Lost Customers
1768,CS2880,341,20,1482,36.93,63.59,63.59,2.98,Low Value Customers
1769,CS2881,361,26,1801,29.1,93.1,93.1,4.17,High value Customer
1770,CS2882,496,11,781,5.58,8.74,8.74,0.41,Lost Customers
1771,CS2883,444,21,1658,10.68,70.65,70.65,3.08,Medium Value Customer
1772,CS2884,262,21,1399,70.93,70.65,70.65,3.53,Medium Value Customer
1773,CS2885,292,28,1781,53.98,96.85,96.85,4.52,Top Customers
1774,CS2886,377,16,897,23.74,34.8,34.8,1.66,Low Value Customers
1775,CS2887,62,25,1527,91.86,90.27,90.27,4.53,Top Customers
1776,CS2888,542,24,1792,3.23,86.57,86.57,3.7,Medium Value Customer
1777,CS2889,123,22,1536,85.19,76.89,76.89,3.91,Medium Value Customer
1778,CS2890,155,19,1308,80.68,56.47,56.47,3.01,Medium Value Customer
1779,CS2891,318,24,1823,43.19,86.57,86.57,4.0,Medium Value Customer
1780,CS2892,362,17,1181,28.72,41.88,41.88,2.0,Low Value Customers
1781,CS2893,30,24,1724,96.56,86.57,86.57,4.4,High value Customer
1782,CS2894,279,19,1377,64.07,56.47,56.47,2.88,Low Value Customers
1783,CS2895,280,21,1304,63.11,70.65,70.65,3.48,Medium Value Customer
1784,CS2896,310,24,1845,47.85,86.57,86.57,4.04,High value Customer
1785,CS2897,289,16,1188,56.16,34.8,34.8,1.9,Low Value Customers
1786,CS2898,62,21,1336,91.86,70.65,70.65,3.69,Medium Value Customer
1787,CS2899,154,24,1673,81.96,86.57,86.57,4.29,High value Customer
1788,CS2900,183,26,1954,79.38,93.1,93.1,4.55,Top Customers
1789,CS2901,512,19,1259,4.56,56.47,56.47,2.43,Low Value Customers
1790,CS2902,371,28,1961,25.71,96.85,96.85,4.31,High value Customer
1791,CS2903,415,17,1289,15.6,41.88,41.88,1.9,Low Value Customers
1792,CS2904,61,25,1869,93.04,90.27,90.27,4.53,Top Customers
1793,CS2905,348,17,1185,33.74,41.88,41.88,2.03,Low Value Customers
1794,CS2906,319,27,1935,42.71,95.23,95.23,4.37,High value Customer
1795,CS2907,1,29,2039,98.83,98.05,98.05,4.91,Top Customers
1796,CS2908,63,16,1061,90.8,34.8,34.8,2.16,Low Value Customers
